state,year,quarter,registered_users,app_opens
andaman-&-nicobar-islands,2018,1,0,0
andaman-&-nicobar-islands,2018,2,0,0
andaman-&-nicobar-islands,2018,3,0,0
andaman-&-nicobar-islands,2018,4,0,0
andaman-&-nicobar-islands,2019,1,0,0
andaman-&-nicobar-islands,2019,2,0,0
andaman-&-nicobar-islands,2019,3,0,0
andaman-&-nicobar-islands,2019,4,0,0
andaman-&-nicobar-islands,2020,1,0,0
andaman-&-nicobar-islands,2020,2,0,0
andaman-&-nicobar-islands,2020,3,0,0
andaman-&-nicobar-islands,2020,4,0,0
andaman-&-nicobar-islands,2021,1,0,0
andaman-&-nicobar-islands,2021,2,0,0
andaman-&-nicobar-islands,2021,3,0,0
andaman-&-nicobar-islands,2021,4,0,0
andaman-&-nicobar-islands,2022,1,0,0
andaman-&-nicobar-islands,2022,2,0,0
andaman-&-nicobar-islands,2022,3,0,0
andaman-&-nicobar-islands,2022,4,0,0
andaman-&-nicobar-islands,2023,1,0,0
andaman-&-nicobar-islands,2023,2,0,0
andaman-&-nicobar-islands,2023,3,0,0
andaman-&-nicobar-islands,2023,4,0,0
andaman-&-nicobar-islands,2024,1,0,0
andaman-&-nicobar-islands,2024,2,0,0
andaman-&-nicobar-islands,2024,3,0,0
andaman-&-nicobar-islands,2024,4,0,0
andhra-pradesh,2018,1,0,0
andhra-pradesh,2018,2,0,0
andhra-pradesh,2018,3,0,0
andhra-pradesh,2018,4,0,0
andhra-pradesh,2019,1,0,0
andhra-pradesh,2019,2,0,0
andhra-pradesh,2019,3,0,0
andhra-pradesh,2019,4,0,0
andhra-pradesh,2020,1,0,0
andhra-pradesh,2020,2,0,0
andhra-pradesh,2020,3,0,0
andhra-pradesh,2020,4,0,0
andhra-pradesh,2021,1,0,0
andhra-pradesh,2021,2,0,0
andhra-pradesh,2021,3,0,0
andhra-pradesh,2021,4,0,0
andhra-pradesh,2022,1,0,0
andhra-pradesh,2022,2,0,0
andhra-pradesh,2022,3,0,0
andhra-pradesh,2022,4,0,0
andhra-pradesh,2023,1,0,0
andhra-pradesh,2023,2,0,0
andhra-pradesh,2023,3,0,0
andhra-pradesh,2023,4,0,0
andhra-pradesh,2024,1,0,0
andhra-pradesh,2024,2,0,0
andhra-pradesh,2024,3,0,0
andhra-pradesh,2024,4,0,0
arunachal-pradesh,2018,1,0,0
arunachal-pradesh,2018,2,0,0
arunachal-pradesh,2018,3,0,0
arunachal-pradesh,2018,4,0,0
arunachal-pradesh,2019,1,0,0
arunachal-pradesh,2019,2,0,0
arunachal-pradesh,2019,3,0,0
arunachal-pradesh,2019,4,0,0
arunachal-pradesh,2020,1,0,0
arunachal-pradesh,2020,2,0,0
arunachal-pradesh,2020,3,0,0
arunachal-pradesh,2020,4,0,0
arunachal-pradesh,2021,1,0,0
arunachal-pradesh,2021,2,0,0
arunachal-pradesh,2021,3,0,0
arunachal-pradesh,2021,4,0,0
arunachal-pradesh,2022,1,0,0
arunachal-pradesh,2022,2,0,0
arunachal-pradesh,2022,3,0,0
arunachal-pradesh,2022,4,0,0
arunachal-pradesh,2023,1,0,0
arunachal-pradesh,2023,2,0,0
arunachal-pradesh,2023,3,0,0
arunachal-pradesh,2023,4,0,0
arunachal-pradesh,2024,1,0,0
arunachal-pradesh,2024,2,0,0
arunachal-pradesh,2024,3,0,0
arunachal-pradesh,2024,4,0,0
assam,2018,1,0,0
assam,2018,2,0,0
assam,2018,3,0,0
assam,2018,4,0,0
assam,2019,1,0,0
assam,2019,2,0,0
assam,2019,3,0,0
assam,2019,4,0,0
assam,2020,1,0,0
assam,2020,2,0,0
assam,2020,3,0,0
assam,2020,4,0,0
assam,2021,1,0,0
assam,2021,2,0,0
assam,2021,3,0,0
assam,2021,4,0,0
assam,2022,1,0,0
assam,2022,2,0,0
assam,2022,3,0,0
assam,2022,4,0,0
assam,2023,1,0,0
assam,2023,2,0,0
assam,2023,3,0,0
assam,2023,4,0,0
assam,2024,1,0,0
assam,2024,2,0,0
assam,2024,3,0,0
assam,2024,4,0,0
bihar,2018,1,0,0
bihar,2018,2,0,0
bihar,2018,3,0,0
bihar,2018,4,0,0
bihar,2019,1,0,0
bihar,2019,2,0,0
bihar,2019,3,0,0
bihar,2019,4,0,0
bihar,2020,1,0,0
bihar,2020,2,0,0
bihar,2020,3,0,0
bihar,2020,4,0,0
bihar,2021,1,0,0
bihar,2021,2,0,0
bihar,2021,3,0,0
bihar,2021,4,0,0
bihar,2022,1,0,0
bihar,2022,2,0,0
bihar,2022,3,0,0
bihar,2022,4,0,0
bihar,2023,1,0,0
bihar,2023,2,0,0
bihar,2023,3,0,0
bihar,2023,4,0,0
bihar,2024,1,0,0
bihar,2024,2,0,0
bihar,2024,3,0,0
bihar,2024,4,0,0
chandigarh,2018,1,0,0
chandigarh,2018,2,0,0
chandigarh,2018,3,0,0
chandigarh,2018,4,0,0
chandigarh,2019,1,0,0
chandigarh,2019,2,0,0
chandigarh,2019,3,0,0
chandigarh,2019,4,0,0
chandigarh,2020,1,0,0
chandigarh,2020,2,0,0
chandigarh,2020,3,0,0
chandigarh,2020,4,0,0
chandigarh,2021,1,0,0
chandigarh,2021,2,0,0
chandigarh,2021,3,0,0
chandigarh,2021,4,0,0
chandigarh,2022,1,0,0
chandigarh,2022,2,0,0
chandigarh,2022,3,0,0
chandigarh,2022,4,0,0
chandigarh,2023,1,0,0
chandigarh,2023,2,0,0
chandigarh,2023,3,0,0
chandigarh,2023,4,0,0
chandigarh,2024,1,0,0
chandigarh,2024,2,0,0
chandigarh,2024,3,0,0
chandigarh,2024,4,0,0
chhattisgarh,2018,1,0,0
chhattisgarh,2018,2,0,0
chhattisgarh,2018,3,0,0
chhattisgarh,2018,4,0,0
chhattisgarh,2019,1,0,0
chhattisgarh,2019,2,0,0
chhattisgarh,2019,3,0,0
chhattisgarh,2019,4,0,0
chhattisgarh,2020,1,0,0
chhattisgarh,2020,2,0,0
chhattisgarh,2020,3,0,0
chhattisgarh,2020,4,0,0
chhattisgarh,2021,1,0,0
chhattisgarh,2021,2,0,0
chhattisgarh,2021,3,0,0
chhattisgarh,2021,4,0,0
chhattisgarh,2022,1,0,0
chhattisgarh,2022,2,0,0
chhattisgarh,2022,3,0,0
chhattisgarh,2022,4,0,0
chhattisgarh,2023,1,0,0
chhattisgarh,2023,2,0,0
chhattisgarh,2023,3,0,0
chhattisgarh,2023,4,0,0
chhattisgarh,2024,1,0,0
chhattisgarh,2024,2,0,0
chhattisgarh,2024,3,0,0
chhattisgarh,2024,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2019,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2020,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2020,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2020,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2020,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2022,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2022,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2022,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2022,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2023,4,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2024,1,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2024,2,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2024,3,0,0
dadra-&-nagar-haveli-&-daman-&-diu,2024,4,0,0
delhi,2018,1,0,0
delhi,2018,2,0,0
delhi,2018,3,0,0
delhi,2018,4,0,0
delhi,2019,1,0,0
delhi,2019,2,0,0
delhi,2019,3,0,0
delhi,2019,4,0,0
delhi,2020,1,0,0
delhi,2020,2,0,0
delhi,2020,3,0,0
delhi,2020,4,0,0
delhi,2021,1,0,0
delhi,2021,2,0,0
delhi,2021,3,0,0
delhi,2021,4,0,0
delhi,2022,1,0,0
delhi,2022,2,0,0
delhi,2022,3,0,0
delhi,2022,4,0,0
delhi,2023,1,0,0
delhi,2023,2,0,0
delhi,2023,3,0,0
delhi,2023,4,0,0
delhi,2024,1,0,0
delhi,2024,2,0,0
delhi,2024,3,0,0
delhi,2024,4,0,0
goa,2018,1,0,0
goa,2018,2,0,0
goa,2018,3,0,0
goa,2018,4,0,0
goa,2019,1,0,0
goa,2019,2,0,0
goa,2019,3,0,0
goa,2019,4,0,0
goa,2020,1,0,0
goa,2020,2,0,0
goa,2020,3,0,0
goa,2020,4,0,0
goa,2021,1,0,0
goa,2021,2,0,0
goa,2021,3,0,0
goa,2021,4,0,0
goa,2022,1,0,0
goa,2022,2,0,0
goa,2022,3,0,0
goa,2022,4,0,0
goa,2023,1,0,0
goa,2023,2,0,0
goa,2023,3,0,0
goa,2023,4,0,0
goa,2024,1,0,0
goa,2024,2,0,0
goa,2024,3,0,0
goa,2024,4,0,0
gujarat,2018,1,0,0
gujarat,2018,2,0,0
gujarat,2018,3,0,0
gujarat,2018,4,0,0
gujarat,2019,1,0,0
gujarat,2019,2,0,0
gujarat,2019,3,0,0
gujarat,2019,4,0,0
gujarat,2020,1,0,0
gujarat,2020,2,0,0
gujarat,2020,3,0,0
gujarat,2020,4,0,0
gujarat,2021,1,0,0
gujarat,2021,2,0,0
gujarat,2021,3,0,0
gujarat,2021,4,0,0
gujarat,2022,1,0,0
gujarat,2022,2,0,0
gujarat,2022,3,0,0
gujarat,2022,4,0,0
gujarat,2023,1,0,0
gujarat,2023,2,0,0
gujarat,2023,3,0,0
gujarat,2023,4,0,0
gujarat,2024,1,0,0
gujarat,2024,2,0,0
gujarat,2024,3,0,0
gujarat,2024,4,0,0
haryana,2018,1,0,0
haryana,2018,2,0,0
haryana,2018,3,0,0
haryana,2018,4,0,0
haryana,2019,1,0,0
haryana,2019,2,0,0
haryana,2019,3,0,0
haryana,2019,4,0,0
haryana,2020,1,0,0
haryana,2020,2,0,0
haryana,2020,3,0,0
haryana,2020,4,0,0
haryana,2021,1,0,0
haryana,2021,2,0,0
haryana,2021,3,0,0
haryana,2021,4,0,0
haryana,2022,1,0,0
haryana,2022,2,0,0
haryana,2022,3,0,0
haryana,2022,4,0,0
haryana,2023,1,0,0
haryana,2023,2,0,0
haryana,2023,3,0,0
haryana,2023,4,0,0
haryana,2024,1,0,0
haryana,2024,2,0,0
haryana,2024,3,0,0
haryana,2024,4,0,0
himachal-pradesh,2018,1,0,0
himachal-pradesh,2018,2,0,0
himachal-pradesh,2018,3,0,0
himachal-pradesh,2018,4,0,0
himachal-pradesh,2019,1,0,0
himachal-pradesh,2019,2,0,0
himachal-pradesh,2019,3,0,0
himachal-pradesh,2019,4,0,0
himachal-pradesh,2020,1,0,0
himachal-pradesh,2020,2,0,0
himachal-pradesh,2020,3,0,0
himachal-pradesh,2020,4,0,0
himachal-pradesh,2021,1,0,0
himachal-pradesh,2021,2,0,0
himachal-pradesh,2021,3,0,0
himachal-pradesh,2021,4,0,0
himachal-pradesh,2022,1,0,0
himachal-pradesh,2022,2,0,0
himachal-pradesh,2022,3,0,0
himachal-pradesh,2022,4,0,0
himachal-pradesh,2023,1,0,0
himachal-pradesh,2023,2,0,0
himachal-pradesh,2023,3,0,0
himachal-pradesh,2023,4,0,0
himachal-pradesh,2024,1,0,0
himachal-pradesh,2024,2,0,0
himachal-pradesh,2024,3,0,0
himachal-pradesh,2024,4,0,0
jammu-&-kashmir,2018,1,0,0
jammu-&-kashmir,2018,2,0,0
jammu-&-kashmir,2018,3,0,0
jammu-&-kashmir,2018,4,0,0
jammu-&-kashmir,2019,1,0,0
jammu-&-kashmir,2019,2,0,0
jammu-&-kashmir,2019,3,0,0
jammu-&-kashmir,2019,4,0,0
jammu-&-kashmir,2020,1,0,0
jammu-&-kashmir,2020,2,0,0
jammu-&-kashmir,2020,3,0,0
jammu-&-kashmir,2020,4,0,0
jammu-&-kashmir,2021,1,0,0
jammu-&-kashmir,2021,2,0,0
jammu-&-kashmir,2021,3,0,0
jammu-&-kashmir,2021,4,0,0
jammu-&-kashmir,2022,1,0,0
jammu-&-kashmir,2022,2,0,0
jammu-&-kashmir,2022,3,0,0
jammu-&-kashmir,2022,4,0,0
jammu-&-kashmir,2023,1,0,0
jammu-&-kashmir,2023,2,0,0
jammu-&-kashmir,2023,3,0,0
jammu-&-kashmir,2023,4,0,0
jammu-&-kashmir,2024,1,0,0
jammu-&-kashmir,2024,2,0,0
jammu-&-kashmir,2024,3,0,0
jammu-&-kashmir,2024,4,0,0
jharkhand,2018,1,0,0
jharkhand,2018,2,0,0
jharkhand,2018,3,0,0
jharkhand,2018,4,0,0
jharkhand,2019,1,0,0
jharkhand,2019,2,0,0
jharkhand,2019,3,0,0
jharkhand,2019,4,0,0
jharkhand,2020,1,0,0
jharkhand,2020,2,0,0
jharkhand,2020,3,0,0
jharkhand,2020,4,0,0
jharkhand,2021,1,0,0
jharkhand,2021,2,0,0
jharkhand,2021,3,0,0
jharkhand,2021,4,0,0
jharkhand,2022,1,0,0
jharkhand,2022,2,0,0
jharkhand,2022,3,0,0
jharkhand,2022,4,0,0
jharkhand,2023,1,0,0
jharkhand,2023,2,0,0
jharkhand,2023,3,0,0
jharkhand,2023,4,0,0
jharkhand,2024,1,0,0
jharkhand,2024,2,0,0
jharkhand,2024,3,0,0
jharkhand,2024,4,0,0
karnataka,2018,1,0,0
karnataka,2018,2,0,0
karnataka,2018,3,0,0
karnataka,2018,4,0,0
karnataka,2019,1,0,0
karnataka,2019,2,0,0
karnataka,2019,3,0,0
karnataka,2019,4,0,0
karnataka,2020,1,0,0
karnataka,2020,2,0,0
karnataka,2020,3,0,0
karnataka,2020,4,0,0
karnataka,2021,1,0,0
karnataka,2021,2,0,0
karnataka,2021,3,0,0
karnataka,2021,4,0,0
karnataka,2022,1,0,0
karnataka,2022,2,0,0
karnataka,2022,3,0,0
karnataka,2022,4,0,0
karnataka,2023,1,0,0
karnataka,2023,2,0,0
karnataka,2023,3,0,0
karnataka,2023,4,0,0
karnataka,2024,1,0,0
karnataka,2024,2,0,0
karnataka,2024,3,0,0
karnataka,2024,4,0,0
kerala,2018,1,0,0
kerala,2018,2,0,0
kerala,2018,3,0,0
kerala,2018,4,0,0
kerala,2019,1,0,0
kerala,2019,2,0,0
kerala,2019,3,0,0
kerala,2019,4,0,0
kerala,2020,1,0,0
kerala,2020,2,0,0
kerala,2020,3,0,0
kerala,2020,4,0,0
kerala,2021,1,0,0
kerala,2021,2,0,0
kerala,2021,3,0,0
kerala,2021,4,0,0
kerala,2022,1,0,0
kerala,2022,2,0,0
kerala,2022,3,0,0
kerala,2022,4,0,0
kerala,2023,1,0,0
kerala,2023,2,0,0
kerala,2023,3,0,0
